type|date|dayWeek|expl
partial|1976-11-04|(Thu)|The NYSE observed one minute of silence in memory of Gustave L. Levy, former NYSE chairman.
partial|1977-02-24|(Thu)|The NYSE observed one minute of silence, from 11:00 to 11:01 am, in memory of John A. Coleman, former NYSE chairman.
partial|1977-03-01|(Tue)|Floor closed at 10:24 am due to fire on moving ramp between trading floor and Blue Room. Reopened at 11:45 am.
closed|1977-07-14|(Thu)|Closed due to blackout in New York City.
partial|1977-12-12|(Mon)|Trading halted from 1:35 to 2:00 pm – computer failure.
closed|1978-01-20|(Fri)|Opened at 12:00 noon due to snowstorm.
early2pm|1978-02-06|(Mon)|Floor closed at 2:00 pm due to snowstorm.
open11.00|1978-02-07|(Tue)|Opened at 11:00 am due to snowstorm.
closed|1979-12-13|(Thu)|The NYSE observed one minute of silence in memory of Robert L. Stott, former NYSE chairman.
partial|1980-10-13|(Mon)|Market closed between 11:11 am and 12:05 pm because of computer malfunction.
closed|1980-12-30|(Tue)|The NYSE observed one minute of silence in memory of James Crane Kellogg III, former NYSE chairman.
early3.17pm|1981-03-30|(Mon)|Market closed at 3:17 pm due to assassination attempt on President Reagan.
early3.28pm|1981-09-09|(Wed)|Market closed at 3:28 pm due to Con Edison power failure in lower Manhattan.
partial|1981-09-16|(Wed)|Trading halted from 12:26 to 12:45 pm due to fire alarm malfunction.
partial|1982-12-28|(Tue)|Market closed between 10:25 and 11:00 am due to small fire.
partial|1983-10-13|(Thu)|Trading halted from 2:51 pm to 3:30 pm due to technical malfunction of low speed ticker.
closed|1985-09-27|(Fri)|Market closed due to Hurricane Gloria.
partial|1986-01-29|(Wed)|The NYSE observed one minute of silence, from 11:00 to 11:01 am, in memory of the seven crew members who perished in the Challenger space shuttle disaster.
early2pm|1987-10-23|(Fri)|Shortened hours following market break of October 19 and record breaking volume – 2:00 pm close.
early2pm|1987-10-24|(Sat)|Shortened hours following market break of October 19 and record breaking volume – 2:00 pm close.
early2pm|1987-10-25|(Sun)|Shortened hours following market break of October 19 and record breaking volume – 2:00 pm close.
early2pm|1987-10-26|(Mon)|Shortened hours following market break of October 19 and record breaking volume – 2:00 pm close.
early2pm|1987-10-27|(Tue)|Shortened hours following market break of October 19 and record breaking volume – 2:00 pm close.
early2pm|1987-10-28|(Wed)|Shortened hours following market break of October 19 and record breaking volume – 2:00 pm close.
early2pm|1987-10-29|(Thu)|Shortened hours following market break of October 19 and record breaking volume – 2:00 pm close.
early2pm|1987-10-30|(Fri)|Shortened hours following market break of October 19 and record breaking volume – 2:00 pm close.
early2.30pm|1987-11-02|(Mon)|2:30 pm close.
early2.30pm|1987-11-03|(Tue)|2:30 pm close.
early2.30pm|1987-11-04|(Wed)|2:30 pm close.
early3pm|1987-11-05|(Thu)|3:00 pm close.
early3pm|1987-11-06|(Fri)|3:00 pm close.
early3.30pm|1987-11-09|(Mon)|3:30 pm close. Normal hours resumed November 12. Trading floor and clerical staff went on strike November 10-13 and were replaced by emergency reserve personnel. NYSE remained open throughout the strike.
early3.30pm|1987-11-10|(Tue)|3:30 pm close. Normal hours resumed November 12. Trading floor and clerical staff went on strike November 10-13 and were replaced by emergency reserve personnel. NYSE remained open throughout the strike.
early3.30pm|1987-11-11|(Wed)|3:30 pm close. Normal hours resumed November 12. Trading floor and clerical staff went on strike November 10-13 and were replaced by emergency reserve personnel. NYSE remained open throughout the strike.
openlate|1989-11-10|(Fri)|Electrical fire delayed opening for an hour.
partial|1990-11-23|(Fri)|Internal power failure halted trading from 9:41 to 11:15 am.
early2pm|1990-12-24|(Mon)|Christmas Eve. Closed at 2:00 pm.
open11.00am|1990-12-27|(Thu)|Opening delayed to 11:00 am due to explosion of a Con Edison transformer outside 55 Water Street.
open9.31am|1991-01-17|(Thu)|Opening delayed until 9:31 am for a minute of silent prayer for the American troops in the Persian Gulf.
open9.31am|1991-02-25|(Mon)|Opening delayed until 9:31 am for a minute of silence in honor of the American troops in the Persian Gulf.
partial|1991-10-22|(Tue)|Power dip halts trading for 24 minutes, from 10:21 to 10:45 am.
early2pm|1991-12-24|(Tue)|Christmas Eve. Closed at 2:00 pm.
partial|1992-03-19|(Thu)|The NYSE observed one minute of silence in memory of Bernard J. Lasker, former NYSE chairman.
partial|1992-05-15|(Fri)|The NYSE observed one minute of silence in memory of G. Keith Funston, former NYSE president.
partial|1992-06-15|(Mon)|The NYSE observed one minute of silence in memory of Robert W. Haack, former NYSE president.
early2pm|1992-11-27|(Fri)|Closed at 2:00 pm. Day after Thanksgiving.
early2pm|1992-12-24|(Thu)|Christmas Eve. Closed at 2:00 pm.
early1pm|1993-11-26|(Fri)|Day after Thanksgiving. Closed at 1:00 pm.
early2.30pm|1994-02-11|(Fri)|Floor closed at 2:30 pm due to snowstorm.
partial|1994-04-25|(Mon)|The NYSE observed two minutes of silence, from 12:00 noon to 12:02 pm, in memory of former President Richard M. Nixon.
closed|1994-04-27|(Wed)|Closed for funeral of former President Richard M. Nixon.
