Symbol;ISIN;Description;Region;Classification;Curr;Type;Start
T3720L;CH0019123386;DJS TMI Hsh Gd [3720] USD (Price);Europe;Sector;USD;Price;20-Sep-04
T3720P;CH0019123311;DJS TMI Hsh Gd [3720] EUR (Price);Europe;Sector;EUR;Price;20-Sep-04
T3720R;CH0019123436;DJS TMI Hsh Gd [3720] EUR (Return);Europe;Sector;EUR;Return;20-Sep-04
T3720V;CH0019123451;DJS TMI Hsh Gd [3720] USD (Return);Europe;Sector;USD;Return;20-Sep-04
SXLIEQ;CH0013313876;DJS TMI Indus Eng [2750] USD (Price);Europe;Sector;USD;Price;24-Dec-01
SXPIEQ;CH0013314007;DJS TMI Indus Eng [2750] EUR (Price);Europe;Sector;EUR;Price;24-Dec-01
SXRIEQ;CH0013313447;DJS TMI Indus Eng [2750] EUR (Return);Europe;Sector;EUR;Return;24-Dec-01
SXVIEQ;CH0013313959;DJS TMI Indus Eng [2750] USD (Return);Europe;Sector;USD;Return;24-Dec-01
T1750L;CH0019122503;DJS TMI Indus Mtl [1750] USD (Price);Europe;Sector;USD;Price;20-Sep-04
T1750P;CH0019122446;DJS TMI Indus Mtl [1750] EUR (Price);Europe;Sector;EUR;Price;20-Sep-04
T1750R;CH0019122529;DJS TMI Indus Mtl [1750] EUR (Return);Europe;Sector;EUR;Return;20-Sep-04
T1750V;CH0019122560;DJS TMI Indus Mtl [1750] USD (Return);Europe;Sector;USD;Return;20-Sep-04
SILTRA;CH0010542477;DJS TMI Indus Tra [2770] USD (Price);Europe;Sector;USD;Price;24-Dec-01
SIPTRA;CH0010542469;DJS TMI Indus Tra [2770] EUR (Price);Europe;Sector;EUR;Price;24-Dec-01
SIRTRA;CH0010542485;DJS TMI Indus Tra [2770] EUR (Return);Europe;Sector;EUR;Return;24-Dec-01
SIVTRA;CH0010542493;DJS TMI Indus Tra [2770] USD (Return);Europe;Sector;USD;Return;24-Dec-01
T3740L;CH0019123543;DJS TMI Leisr Gds [3740] USD (Price);Europe;Sector;USD;Price;20-Sep-04
T3740P;CH0019123519;DJS TMI Leisr Gds [3740] EUR (Price);Europe;Sector;EUR;Price;20-Sep-04
T3740R;CH0019123592;DJS TMI Leisr Gds [3740] EUR (Return);Europe;Sector;EUR;Return;20-Sep-04
T3740V;CH0019123626;DJS TMI Leisr Gds [3740] USD (Return);Europe;Sector;USD;Return;20-Sep-04
T8570L;CH0019125381;DJS TMI Life Ins [8570] USD (Price);Europe;Sector;USD;Price;20-Sep-04
T8570P;CH0019125332;DJS TMI Life Ins [8570] EUR (Price);Europe;Sector;EUR;Price;20-Sep-04
T8570R;CH0019125423;DJS TMI Life Ins [8570] EUR (Return);Europe;Sector;EUR;Return;20-Sep-04
T8570V;CH0019125472;DJS TMI Life Ins [8570] USD (Return);Europe;Sector;USD;Return;20-Sep-04
BMDL;CH0009103703;DJS TMI Media [5550] USD (Price);Europe;Sector;USD;Price;20-Nov-00
BMDP;CH0009103661;DJS TMI Media [5550] EUR (Price);Europe;Sector;EUR;Price;20-Nov-00
BMDR;CH0009103737;DJS TMI Media [5550] EUR (Return);Europe;Sector;EUR;Return;20-Nov-00
